gffishingyear,q_fy,stockcode,stock_string,spstock2,live_priceGDP,fGDPtoSFD,proportion_observed
2011,4,12,Pollock,pollock,.87140918,1.1737398,.36040622
2011,4,13,Redfish,redfish,.72057867,1.1737398,.34458697
2011,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3743671,1.1737398,.33656511
2011,4,15,White Hake,whitehake,1.0366019,1.1737398,.40379769
2011,4,16,Witch Flounder,witchflounder,1.7450752,1.1737398,.35806873
2011,4,17,SNEMA Winter Flounder,,2.5379567,1.1737398,.31484106
2012,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2364805,1.1737398,.1290566
2012,1,3,GBW Cod,codGB,2.0834985,1.1737398,.17741232
2012,1,5,GBW Haddock,haddockGB,1.909489,1.1737398,.24105673
2012,1,6,GB Winter Flounder,winterflounderGB,1.71922,1.1737398,.14794776
2012,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4613292,1.1737398,.24756621
2012,1,8,GOM Cod,codGOM,2.4264307,1.1737398,.22660568
2012,1,9,GOM Haddock,haddockGOM,2.5670085,1.1737398,.2884326
2012,1,10,GOM Winter Flounder,winterflounderGOM,1.8046215,1.1737398,.1978858
2012,1,11,Plaice,americanplaiceflounder,1.4002427,1.1737398,.27515891
2012,1,12,Pollock,pollock,.72613776,1.1737398,.23687686
2012,1,13,Redfish,redfish,.60760254,1.1737398,.27068919
2012,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2929963,1.1737398,.15519139
2012,1,15,White Hake,whitehake,1.1980909,1.1737398,.27423596
2012,1,16,Witch Flounder,witchflounder,1.8873523,1.1737398,.25560728
2012,1,17,SNEMA Winter Flounder,,1.4779133,1.1737398,.20433241
2012,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4417181,1.1737398,.1290566
2012,2,3,GBW Cod,codGB,2.2081175,1.1737398,.17741232
2012,2,5,GBW Haddock,haddockGB,2.0646198,1.1737398,.24105673
2012,2,6,GB Winter Flounder,winterflounderGB,2.1496689,1.1737398,.14794776
2012,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.578362,1.1737398,.24756621
2012,2,8,GOM Cod,codGOM,2.471544,1.1737398,.22660568
2012,2,9,GOM Haddock,haddockGOM,2.1791172,1.1737398,.2884326
2012,2,10,GOM Winter Flounder,winterflounderGOM,1.9778863,1.1737398,.1978858
2012,2,11,Plaice,americanplaiceflounder,1.4621972,1.1737398,.27515891
2012,2,12,Pollock,pollock,.96481889,1.1737398,.23687686
2012,2,13,Redfish,redfish,.55346996,1.1737398,.27068919
2012,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.7727752,1.1737398,.15519139
2012,2,15,White Hake,whitehake,1.2046064,1.1737398,.27423596
2012,2,16,Witch Flounder,witchflounder,1.6388483,1.1737398,.25560728
2012,2,17,SNEMA Winter Flounder,,1.5532775,1.1737398,.20433241
2012,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3820812,1.1737398,.1290566
2012,3,3,GBW Cod,codGB,1.7880797,1.1737398,.17741232
2012,3,5,GBW Haddock,haddockGB,2.0007763,1.1737398,.24105673
2012,3,6,GB Winter Flounder,winterflounderGB,1.8752123,1.1737398,.14794776
2012,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.2918229,1.1737398,.24756621
2012,3,8,GOM Cod,codGOM,1.6859285,1.1737398,.22660568
2012,3,9,GOM Haddock,haddockGOM,2.3898284,1.1737398,.2884326
2012,3,10,GOM Winter Flounder,winterflounderGOM,1.9235896,1.1737398,.1978858
2012,3,11,Plaice,americanplaiceflounder,1.518463,1.1737398,.27515891
2012,3,12,Pollock,pollock,.88937742,1.1737398,.23687686
2012,3,13,Redfish,redfish,.59461099,1.1737398,.27068919
2012,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5150148,1.1737398,.15519139
2012,3,15,White Hake,whitehake,1.2532202,1.1737398,.27423596
2012,3,16,Witch Flounder,witchflounder,1.8066255,1.1737398,.25560728
2012,3,17,SNEMA Winter Flounder,,2.1689897,1.1737398,.20433241
2012,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.366341,1.1737398,.1290566
2012,4,3,GBW Cod,codGB,2.0331781,1.1737398,.17741232
2012,4,5,GBW Haddock,haddockGB,1.8652614,1.1737398,.24105673
2012,4,6,GB Winter Flounder,winterflounderGB,2.1597681,1.1737398,.14794776
2012,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4363112,1.1737398,.24756621
2012,4,8,GOM Cod,codGOM,2.1907279,1.1737398,.22660568
2012,4,9,GOM Haddock,haddockGOM,2.3113666,1.1737398,.2884326
2012,4,10,GOM Winter Flounder,winterflounderGOM,1.8635612,1.1737398,.1978858
2012,4,11,Plaice,americanplaiceflounder,2.0894222,1.1737398,.27515891
2012,4,12,Pollock,pollock,.98270226,1.1737398,.23687686
2012,4,13,Redfish,redfish,.55401689,1.1737398,.27068919
2012,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.6353281,1.1737398,.15519139
2012,4,15,White Hake,whitehake,1.3100364,1.1737398,.27423596
2012,4,16,Witch Flounder,witchflounder,2.2968385,1.1737398,.25560728
2012,4,17,SNEMA Winter Flounder,,2.1545191,1.1737398,.20433241
2013,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2951533,1.1737398,.21969856
2013,1,3,GBW Cod,codGB,1.7664313,1.1737398,.16863191
2013,1,5,GBW Haddock,haddockGB,1.5132705,1.1737398,.24699758
2013,1,6,GB Winter Flounder,winterflounderGB,1.3866847,1.1737398,.1566533
2013,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4446695,1.1737398,.12835138
2013,1,8,GOM Cod,codGOM,2.4943705,1.1737398,.25354606
2013,1,9,GOM Haddock,haddockGOM,2.2597165,1.1737398,.312388
2013,1,10,GOM Winter Flounder,winterflounderGOM,1.3723668,1.1737398,.17754924
2013,1,11,Plaice,americanplaiceflounder,1.2293057,1.1737398,.25283635
2013,1,12,Pollock,pollock,.99751973,1.1737398,.22900836
2013,1,13,Redfish,redfish,.47797272,1.1737398,.210839
2013,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2816795,1.1737398,.22436653
2013,1,15,White Hake,whitehake,1.2168813,1.1737398,.24316368
2013,1,16,Witch Flounder,witchflounder,2.3402283,1.1737398,.25934502
2013,1,17,SNEMA Winter Flounder,,1.4269708,1.1737398,.31701088
2013,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1701019,1.1737398,.21969856
2013,2,3,GBW Cod,codGB,1.6873544,1.1737398,.16863191
2013,2,5,GBW Haddock,haddockGB,1.0796927,1.1737398,.24699758
2013,2,6,GB Winter Flounder,winterflounderGB,1.5738848,1.1737398,.1566533
2013,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.272653,1.1737398,.12835138
2013,2,8,GOM Cod,codGOM,2.0791254,1.1737398,.25354606
2013,2,9,GOM Haddock,haddockGOM,1.5876015,1.1737398,.312388
2013,2,10,GOM Winter Flounder,winterflounderGOM,1.4909669,1.1737398,.17754924
2013,2,11,Plaice,americanplaiceflounder,1.0759193,1.1737398,.25283635
2013,2,12,Pollock,pollock,1.0286467,1.1737398,.22900836
2013,2,13,Redfish,redfish,.4590528,1.1737398,.210839
2013,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2475154,1.1737398,.22436653
2013,2,15,White Hake,whitehake,1.1195929,1.1737398,.24316368
2013,2,16,Witch Flounder,witchflounder,2.3363986,1.1737398,.25934502
2013,2,17,SNEMA Winter Flounder,,1.4619049,1.1737398,.31701088
2013,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.6161968,1.1737398,.21969856
2013,3,3,GBW Cod,codGB,1.6338507,1.1737398,.16863191
2013,3,5,GBW Haddock,haddockGB,1.2521338,1.1737398,.24699758
2013,3,6,GB Winter Flounder,winterflounderGB,1.9541566,1.1737398,.1566533
2013,3,7,GB Yellowtail Flounder,yellowtailflounderGB,2.9076161,1.1737398,.12835138
2013,3,8,GOM Cod,codGOM,2.1976786,1.1737398,.25354606
2013,3,9,GOM Haddock,haddockGOM,1.7511811,1.1737398,.312388
2013,3,10,GOM Winter Flounder,winterflounderGOM,2.2292588,1.1737398,.17754924
2013,3,11,Plaice,americanplaiceflounder,1.9586643,1.1737398,.25283635
2013,3,12,Pollock,pollock,.95140457,1.1737398,.22900836
2013,3,13,Redfish,redfish,.53439188,1.1737398,.210839
2013,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.951722,1.1737398,.22436653
2013,3,15,White Hake,whitehake,1.3056322,1.1737398,.24316368
2013,3,16,Witch Flounder,witchflounder,2.7596853,1.1737398,.25934502
2013,3,17,SNEMA Winter Flounder,,2.0554693,1.1737398,.31701088
2013,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0993179,1.1737398,.21969856
2013,4,3,GBW Cod,codGB,1.5014346,1.1737398,.16863191
2013,4,5,GBW Haddock,haddockGB,1.0384532,1.1737398,.24699758
2013,4,6,GB Winter Flounder,winterflounderGB,2.6834691,1.1737398,.1566533
2013,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.8748138,1.1737398,.12835138
2013,4,8,GOM Cod,codGOM,1.9314166,1.1737398,.25354606
2013,4,9,GOM Haddock,haddockGOM,1.5811837,1.1737398,.312388
2013,4,10,GOM Winter Flounder,winterflounderGOM,1.8683177,1.1737398,.17754924
2013,4,11,Plaice,americanplaiceflounder,1.8886167,1.1737398,.25283635
2013,4,12,Pollock,pollock,.86134535,1.1737398,.22900836
2013,4,13,Redfish,redfish,.52332103,1.1737398,.210839
2013,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.6092718,1.1737398,.22436653
2013,4,15,White Hake,whitehake,1.2727386,1.1737398,.24316368
2013,4,16,Witch Flounder,witchflounder,1.8780643,1.1737398,.25934502
2013,4,17,SNEMA Winter Flounder,,2.3372154,1.1737398,.31701088
2014,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0420889,1.1737398,.27867591
2014,1,3,GBW Cod,codGB,1.4005734,1.1737398,.22209084
2014,1,5,GBW Haddock,haddockGB,.96476287,1.1737398,.39533246
2014,1,6,GB Winter Flounder,winterflounderGB,1.7599488,1.1737398,.19311944
2014,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4339105,1.1737398,.19959056
2014,1,8,GOM Cod,codGOM,2.0804768,1.1737398,.32981116
2014,1,9,GOM Haddock,haddockGOM,1.7023953,1.1737398,.31343171
2014,1,10,GOM Winter Flounder,winterflounderGOM,1.6286374,1.1737398,.24218285
2014,1,11,Plaice,americanplaiceflounder,1.39869,1.1737398,.28560677
2014,1,12,Pollock,pollock,.99420053,1.1737398,.27572182
2014,1,13,Redfish,redfish,.491745,1.1737398,.30085286
2014,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3970734,1.1737398,.23263769
2014,1,15,White Hake,whitehake,1.2058233,1.1737398,.28553998
2014,1,16,Witch Flounder,witchflounder,2.600523,1.1737398,.28551698
2014,1,17,SNEMA Winter Flounder,,1.8640994,1.1737398,.25544801
2014,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.1508626,1.1737398,.27867591
2014,2,3,GBW Cod,codGB,1.6943792,1.1737398,.22209084
2014,2,5,GBW Haddock,haddockGB,1.0511224,1.1737398,.39533246
2014,2,6,GB Winter Flounder,winterflounderGB,1.7597162,1.1737398,.19311944
2014,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3756338,1.1737398,.19959056
2014,2,8,GOM Cod,codGOM,1.9235873,1.1737398,.32981116
2014,2,9,GOM Haddock,haddockGOM,1.2779179,1.1737398,.31343171
2014,2,10,GOM Winter Flounder,winterflounderGOM,1.6715741,1.1737398,.24218285
2014,2,11,Plaice,americanplaiceflounder,1.28825,1.1737398,.28560677
2014,2,12,Pollock,pollock,1.285416,1.1737398,.27572182
2014,2,13,Redfish,redfish,.50047946,1.1737398,.30085286
2014,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.1482122,1.1737398,.23263769
2014,2,15,White Hake,whitehake,1.3940696,1.1737398,.28553998
2014,2,16,Witch Flounder,witchflounder,2.2792652,1.1737398,.28551698
2014,2,17,SNEMA Winter Flounder,,1.6632727,1.1737398,.25544801
2014,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0495145,1.1737398,.27867591
2014,3,3,GBW Cod,codGB,1.7431631,1.1737398,.22209084
2014,3,5,GBW Haddock,haddockGB,1.2818717,1.1737398,.39533246
2014,3,6,GB Winter Flounder,winterflounderGB,2.1700206,1.1737398,.19311944
2014,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.7971898,1.1737398,.19959056
2014,3,8,GOM Cod,codGOM,1.3872826,1.1737398,.32981116
2014,3,9,GOM Haddock,haddockGOM,1.5016806,1.1737398,.31343171
2014,3,10,GOM Winter Flounder,winterflounderGOM,1.8163629,1.1737398,.24218285
2014,3,11,Plaice,americanplaiceflounder,1.8401698,1.1737398,.28560677
2014,3,12,Pollock,pollock,1.0345976,1.1737398,.27572182
2014,3,13,Redfish,redfish,.51710933,1.1737398,.30085286
2014,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5732059,1.1737398,.23263769
2014,3,15,White Hake,whitehake,1.2934759,1.1737398,.28553998
2014,3,16,Witch Flounder,witchflounder,2.8473432,1.1737398,.28551698
2014,3,17,SNEMA Winter Flounder,,2.0248151,1.1737398,.25544801
2014,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4979477,1.1737398,.27867591
2014,4,3,GBW Cod,codGB,1.7546886,1.1737398,.22209084
2014,4,5,GBW Haddock,haddockGB,.95928663,1.1737398,.39533246
2014,4,6,GB Winter Flounder,winterflounderGB,2.3276687,1.1737398,.19311944
2014,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.183863,1.1737398,.19959056
2014,4,8,GOM Cod,codGOM,1.8875649,1.1737398,.32981116
2014,4,9,GOM Haddock,haddockGOM,1.4670783,1.1737398,.31343171
2014,4,10,GOM Winter Flounder,winterflounderGOM,1.363969,1.1737398,.24218285
2014,4,11,Plaice,americanplaiceflounder,2.0764918,1.1737398,.28560677
2014,4,12,Pollock,pollock,1.0053731,1.1737398,.27572182
2014,4,13,Redfish,redfish,.56545126,1.1737398,.30085286
2014,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.9088693,1.1737398,.23263769
2014,4,15,White Hake,whitehake,1.5503405,1.1737398,.28553998
2014,4,16,Witch Flounder,witchflounder,2.2514892,1.1737398,.28551698
2014,4,17,SNEMA Winter Flounder,,1.8845809,1.1737398,.25544801
2015,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,.94463682,1.1737398,.19325458
2015,1,3,GBW Cod,codGB,1.6154858,1.1737398,.15160577
2015,1,5,GBW Haddock,haddockGB,.84941852,1.1737398,.220809
2015,1,6,GB Winter Flounder,winterflounderGB,1.6141536,1.1737398,.16071595
2015,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.4107733,1.1737398,.20298618
2015,1,8,GOM Cod,codGOM,2.0748568,1.1737398,.25989178
2015,1,9,GOM Haddock,haddockGOM,1.236219,1.1737398,.23753491
2015,1,10,GOM Winter Flounder,winterflounderGOM,1.5898863,1.1737398,.2223781
2015,1,11,Plaice,americanplaiceflounder,1.4749619,1.1737398,.19899908
2015,1,12,Pollock,pollock,1.3776988,1.1737398,.21333967
2015,1,13,Redfish,redfish,.53884453,1.1737398,.23550597
2015,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4186622,1.1737398,.16149893
2015,1,15,White Hake,whitehake,1.3673135,1.1737398,.21355224
2015,1,16,Witch Flounder,witchflounder,2.1822426,1.1737398,.18858658
2015,1,17,SNEMA Winter Flounder,,1.738325,1.1737398,.28976464
2015,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3432046,1.1737398,.19325458
2015,2,3,GBW Cod,codGB,1.6645718,1.1737398,.15160577
2015,2,5,GBW Haddock,haddockGB,1.0815839,1.1737398,.220809
2015,2,6,GB Winter Flounder,winterflounderGB,2.2908933,1.1737398,.16071595
2015,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.6024973,1.1737398,.20298618
2015,2,8,GOM Cod,codGOM,1.9520934,1.1737398,.25989178
2015,2,9,GOM Haddock,haddockGOM,1.0568074,1.1737398,.23753491
2015,2,10,GOM Winter Flounder,winterflounderGOM,1.9845507,1.1737398,.2223781
2015,2,11,Plaice,americanplaiceflounder,1.4763218,1.1737398,.19899908
2015,2,12,Pollock,pollock,1.036588,1.1737398,.21333967
2015,2,13,Redfish,redfish,.46781048,1.1737398,.23550597
2015,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.819278,1.1737398,.16149893
2015,2,15,White Hake,whitehake,1.0086877,1.1737398,.21355224
2015,2,16,Witch Flounder,witchflounder,2.3671985,1.1737398,.18858658
2015,2,17,SNEMA Winter Flounder,,2.1269321,1.1737398,.28976464
2015,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.6134179,1.1737398,.19325458
2015,3,3,GBW Cod,codGB,1.698158,1.1737398,.15160577
2015,3,5,GBW Haddock,haddockGB,1.1247542,1.1737398,.220809
2015,3,6,GB Winter Flounder,winterflounderGB,2.6312878,1.1737398,.16071595
2015,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.856964,1.1737398,.20298618
2015,3,8,GOM Cod,codGOM,2.1512511,1.1737398,.25989178
2015,3,9,GOM Haddock,haddockGOM,1.1109118,1.1737398,.23753491
2015,3,10,GOM Winter Flounder,winterflounderGOM,2.1663897,1.1737398,.2223781
2015,3,11,Plaice,americanplaiceflounder,1.9665877,1.1737398,.19899908
2015,3,12,Pollock,pollock,.71713573,1.1737398,.21333967
2015,3,13,Redfish,redfish,.55444783,1.1737398,.23550597
2015,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.9045008,1.1737398,.16149893
2015,3,15,White Hake,whitehake,1.2249492,1.1737398,.21355224
2015,3,16,Witch Flounder,witchflounder,2.8168874,1.1737398,.18858658
2015,3,17,SNEMA Winter Flounder,,2.2753911,1.1737398,.28976464
2015,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.4685431,1.1737398,.19325458
